Operation,Run,Time (seconds)
Decode,0,4.99ms
Encode,0,1.45ms
Decode,0,6.14ms
Decode,1,5.92ms
Encode,1,1.33ms
Decode,1,5.22ms
Decode,2,4.78ms
Encode,2,1.28ms
Decode,2,5.26ms
Decode,3,3.91ms
Encode,3,955.33µs
Decode,3,4.43ms
Decode,4,4.38ms
Encode,4,1.03ms
Decode,4,4.10ms
Decode,5,5.00ms
Encode,5,859.75µs
Decode,5,4.67ms
Decode,6,4.12ms
Encode,6,1.04ms
Decode,6,3.64ms
Decode,7,5.19ms
Encode,7,848.58µs
Decode,7,3.59ms
Decode,8,4.42ms
Encode,8,943.38µs
Decode,8,4.74ms
Decode,9,3.99ms
Encode,9,997.67µs
Decode,9,4.81ms
Decode,10,5.18ms
Encode,10,1.00ms
Decode,10,4.25ms
Decode,11,4.52ms
Encode,11,1.00ms
Decode,11,4.92ms
Decode,12,3.91ms
Encode,12,1.13ms
Decode,12,3.99ms
Decode,13,4.19ms
Encode,13,849.75µs
Decode,13,3.66ms
Decode,14,4.50ms
Encode,14,935.25µs
Decode,14,3.74ms
Decode,15,4.27ms
Encode,15,884.21µs
Decode,15,4.04ms
Decode,16,4.44ms
Encode,16,1.04ms
Decode,16,43.93ms

Encode,17,1.06ms
Decode,17,4.55ms
Decode,18,3.70ms
Encode,18,921.13µs
Decode,18,4.55ms
Decode,19,4.26ms
Encode,19,1.07ms
Decode,19,3.60ms
Decode,20,4.54ms
Encode,20,907.54µs
Decode,20,3.66ms
Decode,21,4.20ms
Encode,21,1.00ms
Decode,21,4.37ms
Decode,22,3.42ms
Encode,22,811.75µs
Decode,22,4.53ms
Decode,23,3.68ms
Encode,23,842.71µs
Decode,23,4.13ms
Decode,24,4.23ms
Encode,24,903.17µs
Decode,24,4.46ms
Decode,25,4.69ms
Encode,25,1.08ms
Decode,25,4.06ms
Decode,26,3.93ms
Encode,26,927.33µs
Decode,26,4.80ms
Decode,27,3.45ms
Encode,27,836.50µs
Decode,27,4.10ms
Decode,28,4.10ms
Encode,28,1.04ms
Decode,28,3.62ms
Decode,29,3.63ms
Encode,29,1.03ms
Decode,29,3.86ms
Decode,30,4.49ms
Encode,30,937.67µs
Decode,30,4.48ms
Decode,31,3.71ms
Encode,31,1.01ms
Decode,31,4.41ms
Decode,32,3.55ms
Encode,32,1.06ms
Decode,32,4.86ms
Decode,33,3.71ms
Encode,33,979.79µs
Decode,33,4.38ms
Decode,34,3.95ms
Encode,34,1.07ms
Decode,34,4.26ms
Decode,35,4.25ms
Encode,35,957.71µs
Decode,35,4.94ms
Decode,36,3.53ms
Encode,36,1.07ms
Decode,36,5.26ms
Decode,37,4.01ms
Encode,37,1.22ms
Decode,37,3.65ms
Decode,38,4.30ms
Encode,38,983.92µs
Decode,38,3.67ms
Decode,39,4.73ms
Encode,39,999.92µs
Decode,39,3.99ms
Decode,40,4.10ms
Encode,40,992.04µs
Decode,40,4.55ms
Decode,41,4.39ms
Encode,41,917.67µs
Decode,41,4.85ms
Decode,42,3.92ms
Encode,42,1.30ms
Decode,42,4.30ms
Decode,43,4.42ms
Encode,43,963.33µs
Decode,43,3.77ms
Decode,44,3.83ms
Encode,44,878.08µs
Decode,44,4.39ms
Decode,45,4.26ms
Encode,45,1.27ms
Decode,45,3.71ms
Decode,46,3.77ms
Encode,46,1.09ms
Decode,46,4.42ms
Decode,47,4.46ms
Encode,47,1.01ms
Decode,47,3.53ms
Decode,48,4.61ms
Encode,48,956.13µs
Decode,48,4.52ms
Decode,49,3.55ms
Encode,49,876.50µs
Decode,49,4.25ms
Decode,50,3.45ms
Encode,50,960.33µs
Decode,50,4.56ms
Decode,51,3.81ms
Encode,51,1.06ms
Decode,51,3.78ms
Decode,52,4.29ms
Encode,52,1.04ms
Decode,52,3.59ms
Decode,53,4.55ms
Encode,53,874.63µs
Decode,53,4.28ms
Decode,54,3.67ms
Encode,54,953.58µs
Decode,54,3.96ms
Decode,55,4.13ms
Encode,55,976.29µs
Decode,55,3.91ms
Decode,56,4.64ms
Encode,56,919.17µs
Decode,56,4.12ms
Decode,57,4.97ms
Encode,57,1.12ms
Decode,57,4.18ms
Decode,58,3.76ms
Encode,58,829.17µs
Decode,58,3.50ms
Decode,59,3.82ms
Encode,59,825.21µs
Decode,59,4.14ms
Decode,60,3.68ms
Encode,60,814.79µs
Decode,60,4.73ms
Decode,61,3.78ms
Encode,61,967.71µs
Decode,61,3.99ms
Decode,62,4.73ms
Encode,62,1.09ms
Decode,62,3.82ms
Decode,63,4.06ms
Encode,63,840.00µs
Decode,63,3.63ms
Decode,64,3.79ms
Encode,64,830.50µs
Decode,64,4.34ms
Decode,65,4.06ms
Encode,65,890.92µs
Decode,65,4.56ms
Decode,66,3.61ms
Encode,66,1.12ms
Decode,66,4.67ms
Decode,67,4.60ms
Encode,67,1.17ms
Decode,67,3.85ms
Decode,68,4.33ms
Encode,68,1.03ms
Decode,68,4.50ms
Decode,69,4.64ms
Encode,69,1.04ms
Decode,69,4.40ms
Decode,70,3.82ms
Encode,70,1.09ms
Decode,70,4.70ms
Decode,71,4.37ms
Encode,71,1.07ms
Decode,71,4.58ms
Decode,72,4.77ms
Encode,72,977.79µs
Decode,72,4.78ms
Decode,73,4.22ms
Encode,73,1.12ms
Decode,73,4.38ms
Decode,74,4.50ms
Encode,74,1.06ms
Decode,74,4.29ms
Decode,75,4.20ms
Encode,75,959.63µs
Decode,75,4.12ms
Decode,76,4.19ms
Encode,76,953.75µs
Decode,76,4.89ms
Decode,77,4.15ms
Encode,77,1.16ms
Decode,77,4.59ms
Decode,78,4.99ms
Encode,78,1.00ms
Decode,78,4.27ms
Decode,79,3.74ms
Encode,79,978.21µs
Decode,79,4.09ms
Decode,80,3.54ms
Encode,80,905.46µs
Decode,80,4.03ms
Decode,81,3.41ms
Encode,81,943.58µs
Decode,81,3.88ms
Decode,82,3.68ms
Encode,82,1.31ms
Decode,82,4.16ms
Decode,83,4.13ms
Encode,83,938.00µs
Decode,83,3.81ms
Decode,84,4.10ms
Encode,84,854.38µs
Decode,84,5.65ms
Decode,85,4.02ms
Encode,85,966.38µs
Decode,85,4.19ms
Decode,86,4.15ms
Encode,86,988.83µs
Decode,86,3.89ms
Decode,87,4.10ms
Encode,87,931.83µs
Decode,87,4.30ms
Decode,88,3.78ms
Encode,88,888.63µs
Decode,88,4.10ms
Decode,89,3.68ms
Encode,89,1.05ms
Decode,89,4.65ms
Decode,90,3.54ms
Encode,90,876.79µs
Decode,90,3.85ms
Decode,91,4.01ms
Encode,91,1.02ms
Decode,91,4.50ms
Decode,92,5.06ms
Encode,92,951.79µs
Decode,92,4.19ms
Decode,93,4.07ms
Encode,93,922.79µs
Decode,93,4.68ms
Decode,94,4.61ms
Encode,94,1.13ms
Decode,94,4.77ms
Decode,95,4.13ms
Encode,95,1.08ms
Decode,95,3.73ms
Decode,96,4.21ms
Encode,96,904.29µs
Decode,96,3.76ms
Decode,97,3.73ms
Encode,97,961.21µs
Decode,97,5.22ms
Decode,98,3.58ms
Encode,98,860.38µs
Decode,98,3.93ms
Decode,99,3.92ms
Encode,99,911.38µs
Decode,99,3.85ms
Decode,100,3.47ms
Encode,100,874.79µs
Decode,100,4.20ms
Decode,101,4.37ms
Encode,101,1.02ms
Decode,101,4.79ms
Decode,102,4.60ms
Encode,102,992.83µs
Decode,102,4.45ms
Decode,103,3.64ms
Encode,103,883.75µs
Decode,103,4.39ms
Decode,104,3.56ms
Encode,104,1.16ms
Decode,104,4.55ms
Decode,105,3.93ms
Encode,105,846.63µs
Decode,105,3.84ms
Decode,106,4.18ms
Encode,106,924.46µs
Decode,106,4.71ms
Decode,107,3.68ms
Encode,107,893.58µs
Decode,107,4.20ms
Decode,108,4.25ms
Encode,108,878.71µs
Decode,108,4.43ms
Decode,109,3.61ms
Encode,109,885.13µs
Decode,109,4.19ms
Decode,110,3.92ms
Encode,110,1.07ms
Decode,110,4.53ms
Decode,111,4.03ms
Encode,111,893.21µs
Decode,111,4.39ms
Decode,112,4.20ms
Encode,112,1.01ms
Decode,112,4.41ms
Decode,113,4.17ms
Encode,113,1.24ms
Decode,113,5.09ms
Decode,114,4.53ms
Encode,114,998.83µs
Decode,114,3.96ms
Decode,115,4.52ms
Encode,115,1.17ms
Decode,115,4.58ms
Decode,116,3.77ms
Encode,116,1.15ms
Decode,116,6.13ms
Decode,117,5.34ms
Encode,117,1.16ms
Decode,117,4.14ms
Decode,118,4.36ms
Encode,118,1.04ms
Decode,118,4.72ms
Decode,119,3.80ms
Encode,119,1.38ms
Decode,119,4.58ms
Decode,120,4.20ms
Encode,120,1.07ms
Decode,120,5.53ms
Decode,121,4.50ms
Encode,121,1.05ms
Decode,121,4.75ms
Decode,122,4.30ms
Encode,122,1.05ms
Decode,122,4.40ms
Decode,123,4.25ms
Encode,123,1.04ms
Decode,123,4.51ms
Decode,124,4.60ms
Encode,124,896.17µs
Decode,124,5.14ms
