Operation,Run,Time (seconds)
Decode,0,3.41ms
Decode,1,5.62ms
Decode,2,5.42ms
Decode,3,5.02ms
Decode,4,4.58ms
Decode,5,4.63ms
Decode,6,4.27ms
Decode,7,4.05ms
Decode,8,4.11ms
Decode,9,3.90ms
Decode,10,3.92ms
Decode,11,3.60ms
Decode,12,3.50ms
Decode,13,3.84ms
Decode,14,3.61ms
Decode,15,3.37ms
Decode,16,3.22ms
Decode,17,4.17ms
Decode,18,3.39ms
Decode,19,3.39ms
Decode,20,3.88ms
Decode,21,3.47ms
Decode,22,3.42ms
Decode,23,3.30ms
Decode,24,3.22ms
Decode,25,3.25ms
Decode,26,3.25ms
Decode,27,3.21ms
Decode,28,3.58ms
Decode,29,3.42ms
Decode,30,3.57ms
Decode,31,3.43ms
Decode,32,3.42ms
Decode,33,3.23ms
Decode,34,3.73ms
Decode,35,3.30ms
Decode,36,3.21ms
Decode,37,3.89ms
Decode,38,3.45ms
Decode,39,3.61ms
Decode,40,3.70ms
Decode,41,4.02ms
Decode,42,3.36ms
Decode,43,3.41ms
Decode,44,3.25ms
Decode,45,3.37ms
Decode,46,3.39ms
Decode,47,3.35ms
Decode,48,3.63ms
Decode,49,3.29ms
Decode,50,3.52ms
Decode,51,3.33ms
Decode,52,3.48ms
Decode,53,3.25ms
Decode,54,3.12ms
Decode,55,4.12ms
Decode,56,3.75ms
Decode,57,3.40ms
Decode,58,3.29ms
Decode,59,3.32ms
Decode,60,3.13ms
Decode,61,3.79ms
Decode,62,3.48ms
Decode,63,3.86ms
Decode,64,3.74ms
Decode,65,3.64ms
Decode,66,3.51ms
Decode,67,3.35ms
Decode,68,3.26ms
Decode,69,3.46ms
Decode,70,3.35ms
Decode,71,3.26ms
Decode,72,3.58ms
Decode,73,3.42ms
Decode,74,3.95ms
Decode,75,3.81ms
Decode,76,3.41ms
Decode,77,3.60ms
Decode,78,3.30ms
Decode,79,3.46ms
Decode,80,3.71ms
Decode,81,3.19ms
Decode,82,3.25ms
Decode,83,3.73ms
Decode,84,3.26ms
Decode,85,3.64ms
Decode,86,3.40ms
Decode,87,3.56ms
Decode,88,4.09ms
Decode,89,3.39ms
Decode,90,3.67ms
Decode,91,3.73ms
Decode,92,3.18ms
Decode,93,3.26ms
Decode,94,3.27ms
Decode,95,3.37ms
Decode,96,3.37ms
Decode,97,3.43ms
Decode,98,3.65ms
Decode,99,3.62ms
Decode,100,3.49ms
Decode,101,3.91ms
Decode,102,3.49ms
Decode,103,3.64ms
Decode,104,3.83ms
Decode,105,3.43ms
Decode,106,4.30ms
Decode,107,3.54ms
Decode,108,3.53ms
Decode,109,3.52ms
Decode,110,3.33ms
Decode,111,3.27ms
Decode,112,3.36ms
Decode,113,3.33ms
Decode,114,3.24ms
Decode,115,3.34ms
Decode,116,3.26ms
Decode,117,3.46ms
Decode,118,3.80ms
Decode,119,3.37ms
Decode,120,3.65ms
Decode,121,3.77ms
Decode,122,3.65ms
Decode,123,3.55ms
Decode,124,3.21ms
Decode,125,4.06ms
Decode,126,3.39ms
Decode,127,3.76ms
Decode,128,3.37ms
Decode,129,3.45ms
Decode,130,3.22ms
Decode,131,3.74ms
Decode,132,3.37ms
Decode,133,3.72ms
Decode,134,3.48ms
Decode,135,3.23ms
Decode,136,3.18ms
Decode,137,3.54ms
Decode,138,3.33ms
Decode,139,3.59ms
Decode,140,3.53ms
Decode,141,3.73ms
Decode,142,3.33ms
Decode,143,3.40ms
Decode,144,3.22ms
Decode,145,3.60ms
Decode,146,3.24ms
Decode,147,3.83ms
Decode,148,3.22ms
Decode,149,3.61ms
Decode,150,3.44ms
Decode,151,3.56ms
Decode,152,3.52ms
Decode,153,3.71ms
Decode,154,3.27ms
Decode,155,3.79ms
Decode,156,3.31ms
Decode,157,3.46ms
Decode,158,3.42ms
Decode,159,3.61ms
Decode,160,3.33ms
Decode,161,3.69ms
Decode,162,3.30ms
Decode,163,3.81ms
Decode,164,3.33ms
Decode,165,3.21ms
Decode,166,3.19ms
Decode,167,3.19ms
Decode,168,3.24ms
Decode,169,3.18ms
Decode,170,3.37ms
Decode,171,3.43ms
Decode,172,3.68ms
Decode,173,3.54ms
Decode,174,3.42ms
Decode,175,3.37ms
Decode,176,3.82ms
Decode,177,3.30ms
Decode,178,3.65ms
Decode,179,3.27ms
Decode,180,3.18ms
Decode,181,3.45ms
Decode,182,3.62ms
Decode,183,3.66ms
Decode,184,3.37ms
Decode,185,3.33ms
Decode,186,3.52ms
Decode,187,3.59ms
Decode,188,3.61ms
Decode,189,3.64ms
Decode,190,3.52ms
Decode,191,3.44ms
Decode,192,3.28ms
Decode,193,4.13ms
Decode,194,3.67ms
